	title	url	content	summary	author	time	resource	pdf
14	Fostering an EU Strategy for Security Sector Reform in the Mediterranean: Learning from Turkish and Palestinian Police Reform Experiences	https://www.cidob.org/en/publications/publication_series/project_papers/euromesco/fostering_an_eu_strategy_for_security_sector_reform_in_the_mediterranean_learning_from_turkish_and_palestinian_police_reform_experiences		EuroMeSCo Paper,  January 2008 (66)	Eduard Soler i Lecha (et al.)	01/2008	www.cidob.org	https://www.cidob.org/en/content/download/76552/2462916/version/1/file/EuroMeSCo-Paper-_January_2008.pdf
15	La búsqueda de las instituciones. Una teoría del desarrollo desde la informalidad	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/la_busqueda_de_las_instituciones_una_teoria_del_desarrollo_desde_la_informalidad		Interrogar la actualidad, n.º 22	20€	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57562/1486836/version/2/file/22-LA%20B%C3%9ASQUEDA%20DE%20LAS%20INSTITUCIONES.pdf
16	La profesionalización del empleo público en América Latina	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/la_profesionalizacion_del_empleo_publico_en_america_latina		Interrogar la actualidad, n.º 21	20€	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57563/1486923/version/2/file/21-LA%20PROFESIONALIZACI%C3%93N%20DEL%20EMPLEO%20P%C3%9ABLICO.pdf
17	El e-memorando y Sarkozy: ¿Se difumina la perspectiva europea de Turquía?	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/el_e_memorando_y_sarkozy_se_difumina_la_perspectiva_europea_de_turquia		Opinión CIDOB, n.º 2	Eduard Soler i Lecha. Coordinador de Programa	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57201/1478848/version/3/file/02_OPINIO_MEDITERRANEO.pdf
18	¿Marcha atrás tras la adhesión?	https://www.cidob.org/en/publications/publication_series/opinion/europa/marcha_atras_tras_la_adhesion		Opinión CIDOB, n.º 3	Jordi Vaquer i Fanés. Coordinador de Programa	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57135/1475329/version/3/file/03_OPINIO_EUROPA.pdf
19	Sobre las (no)regularizaciones en la Unión Europea	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/sobre_las_no_regularizaciones_en_la_union_europea		Opinión CIDOB, n.º 1	Gemma Pinyol. Coordinadora de Programa	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57224/1479641/version/3/file/01_OPINIO_MIGRACIONS.pdf
20	20 / Asia Central y la Seguridad Energética Global. Nuevos actores y dinámicas en Eurasia.	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/20_asia_central_y_la_seguridad_energetica_global_nuevos_actores_y_dinamicas_en_eurasia		Interrogar la actualidad, n.º 20	18€	04/2008	www.cidob.org	https://www.cidob.org/en/content/download/57561/1486749/version/3/file/20-ASIA%20CENTRAL%20Y%20LA%20SEGURIDAD.pdf
21	Tras la cumbre de Lima ¿hacia donde camina la asociación estratégica entre la UE y América Latina?	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/tras_la_cumbre_de_lima_hacia_donde_camina_la_asociacion_estrategica_entre_la_ue_y_america_latina		Opinión CIDOB, n.º 8	Anna Ayuso. Coordinadora de Programa	06/2008	www.cidob.org	https://www.cidob.org/en/content/download/57001/1468010/version/3/file/08_OPINIO_AMERICA%20LATINA.pdf
22	Israel ¿nuevo país de inmigración?	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/israel_nuevo_pais_de_inmigracion		Opinión CIDOB, n.º 7	Daniel Shenhar. Asistente de Programa	06/2008	www.cidob.org	https://www.cidob.org/en/content/download/57226/1479699/version/2/file/07_OPINIO_MIGRACIONS.pdf
23	El conflicto del Transniester. La ‘finlandización’ de Moldavia: una oportunidad para la distensión	https://www.cidob.org/en/publications/publication_series/opinion/europa/el_conflicto_del_transniester_la_finlandizacion_de_moldavia_una_oportunidad_para_la_distension		Opinión CIDOB, n.º 6	Jordi Vaquer i Fanés. Coordinador de Programa	06/2008	www.cidob.org	https://www.cidob.org/en/content/download/57136/1475358/version/3/file/06_OPINIO_EUROPA.pdf
24	Proceso de Barcelona: Unión por el Mediterráneo. Génesis y evolución del proyecto de Unión por el Mediterráneo	https://www.cidob.org/en/publications/publication_series/monographs/monographs/proceso_de_barcelona_union_por_el_mediterraneo_genesis_y_evolucion_del_proyecto_de_union_por_el_mediterraneo		isbn:	18€	06/2008	www.cidob.org	https://www.cidob.org/en/content/download/57643/1491941/version/3/file/opex_proceso_barcelona_eng.pdf
25	Medias respuestas: la Comisión Europea y la Unión por el Mediterráneo	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/medias_respuestas_la_comision_europea_y_la_union_por_el_mediterraneo		Opinión CIDOB, n.º 5	Eduard Soler i Lecha. Coordinador de Programa	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57202/1478877/version/3/file/05_OPINIO_MEDITERRANEO.pdf
26	Los recelos de Europa. La lucha contra la inmigración irregular en la encrucijada	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/los_recelos_de_europa_la_lucha_contra_la_inmigracion_irregular_en_la_encrucijada		Opinión CIDOB, n.º 4	Gemma Pinyol. Coordinadora de Programa 	05/2008	www.cidob.org	https://www.cidob.org/en/content/download/57225/1479670/version/3/file/04_OPINIO_MIGRACIONS.pdf
27	La inmigración en campaña	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/la_inmigracion_en_campana		Opinión CIDOB, n.º 13	Gemma Pinyol. Coordinadora de Programa 	09/2008	www.cidob.org	https://www.cidob.org/en/content/download/57227/1479728/version/3/file/13_OPINIO_MIGRACIONS.pdf
28	La democracia en el mundo árabe: señales de alerta	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/la_democracia_en_el_mundo_arabe_senales_de_alerta		Opinión CIDOB, n.º 12	Eduard Soler i Lecha. Coordinador de Programa	09/2008	www.cidob.org	https://www.cidob.org/en/content/download/57203/1478906/version/3/file/12_OPINIO_MEDITERRANEO.pdf
29	Codesarrollo, ¿los riesgos de una tendencia?	https://www.cidob.org/en/publications/publication_series/opinion/desarrollo/codesarrollo_los_riesgos_de_una_tendencia		Opinión CIDOB, n.º 11	Enric Royo. Coordinador de Programa	09/2008	www.cidob.org	https://www.cidob.org/en/content/download/57053/1470292/version/2/file/11_OPINIO_DESARROLLO.pdf
30	La UE reabre una nueva etapa en sus relaciones con Cuba 	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/la_ue_reabre_una_nueva_etapa_en_sus_relaciones_con_cuba		Opinión CIDOB, n.º 10	Francesc Bayo, Investigador, Fundación CIDOB y Susanne Gratius, Investigadora Senior, Programa de Paz y Seguridad, FRIDE 	07/2008	www.cidob.org	https://www.cidob.org/en/content/download/57002/1468039/version/2/file/10_OPINIO_AMERICA%20LATINA.pdf
31	Gobernanza en Asia Central: “cuando el árbol de la energía nos impide ver el bosque”	https://www.cidob.org/en/publications/publication_series/opinion/asia/gobernanza_en_asia_central_cuando_el_arbol_de_la_energia_nos_impide_ver_el_bosque		Opinión CIDOB, n.º 9	Alex González. Coordinador	07/2008	www.cidob.org	https://www.cidob.org/en/content/download/57039/1469760/version/2/file/09_OPINIO_ASIA.pdf
32	El puente de Marco Polo 	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/el_puente_de_marco_polo		Interrogar la actualidad, n.º 23	12€	11/2008	www.cidob.org	https://www.cidob.org/en/content/download/57576/1487996/version/2/file/23-EL%20PUENTE%20DE%20MARCO%20POLO.pdf
33	El Consejo Sudamericano de Defensa: ¿realidad o ficción?	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/el_consejo_sudamericano_de_defensa_realidad_o_ficcion		Rafael Martínez	Rafael Martínez	10/2008	www.cidob.org	https://www.cidob.org/en/content/download/57003/1468068/version/3/file/17_OPINIO_AMERICA%20LATINA.pdf
34	El estatuto avanzado de Marruecos: No perdamos la oportunidad	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/el_estatuto_avanzado_de_marruecos_no_perdamos_la_oportunidad		Opinión CIDOB, n.º 16	Laia Mestres, analista del gabinete de presidencia. Eduard Soler i Lecha, coordinador de Programa	10/2008	www.cidob.org	https://www.cidob.org/en/content/download/57204/1478935/version/3/file/16_OPINIO_MEDITERRANEO.pdf
35	Afganistán al rojo vivo en el (des)concierto internacional	https://www.cidob.org/en/publications/publication_series/opinion/asia/afganistan_al_rojo_vivo_en_el_des_concierto_internacional		Opinión CIDOB, n.º 15	Alex González. Coordinador	10/2008	www.cidob.org	https://www.cidob.org/en/content/download/57040/1469789/version/2/file/15_OPINIO_ASIA.pdf
36	La Unión Europea y la postguerra en Georgia: ¿El fin del “síndrome ruso”?	https://www.cidob.org/en/publications/publication_series/opinion/europa/la_union_europea_y_la_postguerra_en_georgia_el_fin_del_sindrome_ruso		Opinión CIDOB, n.º 14	Òscar Pardo Sierra. Colaborador de la Fundación CIDOB. Universidad de Birmingham.	10/2008	www.cidob.org	https://www.cidob.org/en/content/download/57137/1475387/version/2/file/14_OPINIO_EUROPA.pdf
37	European Pact on Migration and Asylum: a stepping stone towards common European migration policies	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/european_pact_on_migration_and_asylum_a_stepping_stone_towards_common_european_migration_policies		Stefano Bertozzi	Stefano Bertozzi	11/2008	www.cidob.org	https://www.cidob.org/en/content/download/57228/1479757/version/2/file/19_OPINIO_MIGRACIONS.pdf
38	Sobre Obama, las mujeres de Dakota y ... las mujeres de Kenia	https://www.cidob.org/en/publications/publication_series/opinion/desarrollo/sobre_obama_las_mujeres_de_dakota_y_las_mujeres_de_kenia		Enric Royo	Enric Royo	11/2008	www.cidob.org	https://www.cidob.org/en/content/download/57054/1470321/version/2/file/18_OPINIO_DESARROLLO.pdf
39	La leçon européenne de Gaza	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/la_lecon_europeenne_de_gaza		Barah Mikaïl	Barah Mikaïl	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57208/1479080/version/2/file/24_OPINIO_MEDITERRANEO.pdf
40	Gaza y la matriz regional	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/gaza_y_la_matriz_regional		Eduard Soler i Lecha	Eduard Soler i Lecha	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57209/1479109/version/3/file/23_OPINIO_MEDITERRANEO.pdf
41	Seguridad total = terror absoluto. Los límites de la acción israelí en Gaza	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/seguridad_total_terror_absoluto_los_limites_de_la_accion_israeli_en_gaza		Jordi Vaquer i Fanés	Jordi Vaquer i Fanés	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57205/1478964/version/3/file/21_OPINIO_MEDITERRANEO.pdf
42	Obama y la otra América	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/obama_y_la_otra_america		Mariana Foglia	Mariana Foglia	12/2008	www.cidob.org	https://www.cidob.org/en/content/download/57004/1468097/version/2/file/20_OPINIO_AMERICA%20LATINA.pdf
43	How North Africa is facing up to the crisis?	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/how_north_africa_is_facing_up_to_the_crisis		Francis Ghilès	Francis Ghilès	02/2009	www.cidob.org	https://www.cidob.org/en/content/download/57214/1479254/version/3/file/30_OPINIO_MEDITERRANEO.pdf
44	La prova del cotó per a Barack Obama	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/la_prova_del_coto_per_a_barack_obama		Ricard González	Ricard González	02/2009	www.cidob.org	https://www.cidob.org/en/content/download/57213/1479225/version/2/file/29_OPINIO_MEDITERRANEO.pdf
45	Gaza: Israël en tant qu'acteur et narrateur	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/gaza_israel_en_tant_qu_acteur_et_narrateur		Bichara Khader	Bichara Khader	02/2009	www.cidob.org	https://www.cidob.org/en/content/download/57207/1479051/version/2/file/28_OPINIO_MEDITERRANEO.pdf
46	Respuestas locales a inseguridades globales. Innovación y cambios en Brasil y España 	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/respuestas_locales_a_inseguridades_globales_innovacion_y_cambios_en_brasil_y_espana		Interrogar la actualidad, n.º 24	25€	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57577/1488083/version/3/file/24-RESPUESTAS%20LOCALES%20A%20INSEGURIDADES%20GLOBALES.pdf
47	Zapatero e Israel: La hora de los jueces	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/zapatero_e_israel_la_hora_de_los_jueces		Ferran Izquierdo Brichs	Ferran Izquierdo Brichs y Ignacio Álvarez-Ossorio	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57212/1479196/version/2/file/27_OPINIO_MEDITERRANEO.pdf
48	The Arabs and the Gaza Crisis – Between “Official” Inertia and Popular Tumult	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/the_arabs_and_the_gaza_crisis_between_official_inertia_and_popular_tumult		Fadela Hilali	Fadela Hilali	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57211/1479167/version/2/file/26_OPINIO_MEDITERRANEO.pdf
49	Israel and Hamas: An Interim Assessment	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/israel_and_hamas_an_interim_assessment		Amnon Aran	Amnon Aran	01/2009	www.cidob.org	https://www.cidob.org/en/content/download/57210/1479138/version/2/file/25_OPINIO_MEDITERRANEO.pdf
50	Pakistan: A Defining Moment?	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_02/pakistan_a_defining_moment		Notes internacionals CIDOB, núm. 2	Dr. Emma Hooper, Senior Adviser to CIDOB’s Asia Program & Associated Professor, EADA	04/2009	www.cidob.org	https://www.cidob.org/en/content/download/56950/1465900/version/2/file/NOTES%202_HOOPER.pdf
51	V Cumbre de las Américas. Nuevos protagonistas en un nuevo escenario y un guión por escribir	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/v_cumbre_de_las_americas_nuevos_protagonistas_en_un_nuevo_escenario_y_un_guion_por_escribir		Anna Ayuso	Anna Ayuso	04/2009	www.cidob.org	https://www.cidob.org/en/content/download/57006/1468155/version/3/file/35_OPINIO_AMERICA%20LATINA.pdf
52	Algeria’s political drop-outs head to the polls	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_01/algeria_s_political_drop_outs_head_to_the_polls		Notes internacionals CIDOB, núm. 1 	Francis Ghilès, Senior Researcher, CIDOB	04/2009	www.cidob.org	https://www.cidob.org/en/content/download/56948/1465861/version/2/file/Notes%20Internacionals%20n%C2%BA%201.pdf
53	Las elecciones del 5 de julio de 2009 en México: La Administración Calderón a prueba	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/las_elecciones_del_5_de_julio_de_2009_en_mexico_la_administracion_calderon_a_prueba		Salvador Martí	Salvador Martí	03/2009	www.cidob.org	https://www.cidob.org/en/content/download/57005/1468126/version/3/file/34_OPINIO_AMERICA%20LATINA.pdf
54	Researching the Mediterranean	https://www.cidob.org/en/publications/publication_series/monographs/monographs/researching_the_mediterranean		isbn:	18€	03/2009	www.cidob.org	https://www.cidob.org/en/content/download/57601/1489389/version/2/file/monografia_investigando_2edicio.pdf
55	Serbia por los Balcanes	https://www.cidob.org/en/publications/publication_series/opinion/europa/serbia_por_los_balcanes		Jordi Vaquer i Fanés	Jordi Vaquer i Fanés, director de la Fundación CIDOB	03/2009	www.cidob.org	https://www.cidob.org/en/content/download/57138/1475416/version/3/file/33_OPINIO_EUROPA.pdf
56	La crisis económica en un clic: el debate de las ideas y las propuestas de salida	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/la_crisis_economica_en_un_clic_el_debate_de_las_ideas_y_las_propuestas_de_salida		Rosa Nonell	Rosa Nonell	03/2009	www.cidob.org	https://www.cidob.org/en/content/download/57260/1481420/version/2/file/32_OPINIO_SEGURIDAD.pdf
57	Which future voice for the European Parliament? 	https://www.cidob.org/en/publications/publication_series/opinion/europa/which_future_voice_for_the_european_parliament		Deniz Devrim	Deniz Devrim 	06/2009	www.cidob.org	https://www.cidob.org/en/content/download/57059/1470515/version/2/file/39_OPINIO_EUROPA.pdf
58	La ofensiva contra los talibán y las Personas Internamente Desplazadas de Pakistán (PID): nuevo reto para la región.	https://www.cidob.org/en/publications/publication_series/opinion/asia/la_ofensiva_contra_los_taliban_y_las_personas_internamente_desplazadas_de_pakistan_pid_nuevo_reto_para_la_region		Opinión CIDOB, n.º 38	Ana Ballesteros Peiró, investigadora del Departamento de Estudios Árabes e Islámicos de la Universidad Autónoma de Madrid	06/2009	www.cidob.org	https://www.cidob.org/en/content/download/57262/1481479/version/3/file/38_OPINIO_CIDOB.pdf
59	Europa no cae del cielo	https://www.cidob.org/en/publications/publication_series/opinion/europa/europa_no_cae_del_cielo		Francisco Andrés Pérez	Francisco Andrés Pérez	05/2009	www.cidob.org	https://www.cidob.org/en/content/download/57140/1475474/version/2/file/37_OPINIO_EUROPA.pdf
60	Observación electoral en Moldova: del equilibrio a la complicidad	https://www.cidob.org/en/publications/publication_series/opinion/europa/observacion_electoral_en_moldova_del_equilibrio_a_la_complicidad		Jordi Vaquer i Fanés	Jordi Vaquer i Fanés, director de la Fundación CIDOB	04/2009	www.cidob.org	https://www.cidob.org/en/content/download/57139/1475445/version/3/file/36_OPINIO_EUROPA.pdf
61	¿Centroamérica otra vez? Sobre la crisis hondureña y algo más	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/centroamerica_otra_vez_sobre_la_crisis_hondurena_y_algo_mas		Salvador Martí i Puig	Salvador Martí i Puig y Diego Sánchez Ancochea 	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/56955/1466009/version/3/file/42_OPINIO_AMERICA%20LATINA.pdf
62	The coup in Honduras and approaches to semi-democracies	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/the_coup_in_honduras_and_approaches_to_semi_democracies		Narcís Serra	Narcís Serra, president of the CIDOB Foundation	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/56956/1466038/version/2/file/op_allatina_7_060709_eng.pdf
63	A New European Security Architecture?	https://www.cidob.org/en/publications/publication_series/opinion/seguridad_y_politica_mundial/a_new_european_security_architecture		Agnieszka Nowak	Agnieszka Nowak	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/57231/1479825/version/3/file/41_OPINIO_SEGURIDAD.pdf
64	Who is going to die? The Influenza A (H1N1)(Swine flu) Pandemic and Other Infectious Diseases as Global Challenges	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_04/who_is_going_to_die_the_influenza_a_h1n1_swine_flu_pandemic_and_other_infectious_diseases_as_global_challenges		Notes internacionals CIDOB, núm. 4	Dr. Morten Rostrup. Ullevål Department of Acute Medicine, Division of Medicine, Oslo University Hospital. Former International President of Medecins Sans Frontieres	06/2009	www.cidob.org	https://www.cidob.org/en/content/download/56738/1458874/version/1/file/Notes%20Internacionals%20n%C2%BA%204.pdf
65	Obama en el Cairo: la fuerza de las palabras	https://www.cidob.org/en/publications/publication_series/opinion/mediterraneo_y_oriente_medio/obama_en_el_cairo_la_fuerza_de_las_palabras		Ricard González	Ricard González y Eduard Soler i Lecha	06/2009	www.cidob.org	https://www.cidob.org/en/content/download/57142/1475513/version/3/file/40_OPINIO_MEDITERRANEO.pdf
66	Morocco’s local elections: With a little help from my friend	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_03/morocco_s_local_elections_with_a_little_help_from_my_friend		Notes internacionals CIDOB, núm. 3	Eva Wegner, Visiting Fellow CIDOB and Miquel Pellicer, Researcher UAB	06/2009	www.cidob.org	https://www.cidob.org/en/content/download/56736/1458835/version/1/file/Notes%20Internacionals%20n%C2%BA%203.pdf
67	Power and regimes in the contemporary Arab world 	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/power_and_regimes_in_the_contemporary_arab_world		Interrogar la actualidad, n.º 26	25€	09/2009	www.cidob.org	https://www.cidob.org/en/content/download/57542/1485444/version/2/file/26_PODER%20Y%20REG%C3%8DMENES%20EN%20EL%20MUNDO%20%C3%81RABE.pdf
68	25 / Asian entrepreneurs in Spain	https://www.cidob.org/en/publications/publication_series/interrogar_la_actualidad/25_asian_entrepreneurs_in_spain		Interrogar la actualidad, n.º 25	15€	09/2009	www.cidob.org	https://www.cidob.org/en/content/download/57543/1485531/version/2/file/25-EMPRESARIADO%20ASIATICO.pdf
69	Who dares wins: Afghanistan’s triple challenge	https://www.cidob.org/en/publications/publication_series/notes_internacionals/n1_06/who_dares_wins_afghanistan_s_triple_challenge		Notes internacionals CIDOB, núm. 6	Emma Hooper. Senior Adviser to CIDOB’s Asia Program & Associated Professor, EADA	08/2009	www.cidob.org	https://www.cidob.org/en/content/download/56742/1458952/version/2/file/Notes%20Internacionals%20n%C2%BA%206.pdf
70	¿Un nudo gordiano para Obama? Reabriendo el debate sobre la reforma migratoria en Estados Unidos	https://www.cidob.org/en/publications/publication_series/opinion/migraciones/un_nudo_gordiano_para_obama_reabriendo_el_debate_sobre_la_reforma_migratoria_en_estados_unidos		Gemma Pinyol	Gemma Pinyol	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/57216/1479293/version/3/file/48_OPINIO_MIGRACIONS.pdf
71	Citizenship policies in the age of diversity. Europe at the crossroads	https://www.cidob.org/en/publications/publication_series/monographs/monographs/citizenship_policies_in_the_age_of_diversity_europe_at_the_crossroads		ISBN:	18€	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/57579/1488200/version/2/file/GRIP%202009.pdf
72	México ante la crisis hondureña: estabilidad regional y prestigio internacional	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/mexico_ante_la_crisis_hondurena_estabilidad_regional_y_prestigio_internacional		Juan Pablo Soriano	Juan Pablo Soriano	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/56958/1466125/version/2/file/47_OPINIO_AMERICA%20LATINA.pdf
73	Viéndolas venir: ¿Podría la UE haber hecho más por evitar la crisis en Honduras?	https://www.cidob.org/en/publications/publication_series/opinion/america_latina/viendolas_venir_podria_la_ue_haber_hecho_mas_por_evitar_la_crisis_en_honduras		Anna Ayuso	Anna Ayuso	07/2009	www.cidob.org	https://www.cidob.org/en/content/download/56959/1466154/version/3/file/46_OPINIO_AMERICA%20LATINA.pdf
